customer_id,signup_date,customer_age,customer_gender,state
CUST00544,2024-03-26,21,Other,MA
CUST00954,2022-01-27,56,Female,CA
CUST02898,2023-07-30,70,Other,WA
CUST02697,2022-01-27,23,Male,OH
CUST02413,2022-05-08,62,Male,FL
CUST02220,2023-07-22,52,Male,OH
CUST00112,2023-01-24,59,Male,CO
CUST00830,2023-03-02,58,Female,VA
CUST00119,2022-11-29,33,Other,FL
CUST01827,2022-09-29,46,Female,VA
CUST01904,2022-08-22,59,Female,OH
CUST00872,2024-01-12,35,Male,IL
CUST01145,2023-05-06,31,Female,CO
CUST02713,2023-12-12,18,Female,AZ
CUST00040,2024-04-05,37,Female,WA
CUST02754,2023-05-21,28,Other,PA
CUST00908,2024-05-04,28,Male,AZ
CUST02019,2022-06-11,29,Male,PA
CUST02703,2023-07-30,43,Female,VA
CUST02986,2022-04-10,49,Female,OH
CUST00213,2023-06-04,52,Other,WA
CUST01139,2022-04-16,55,Male,WA
CUST02825,2023-09-22,49,Other,CA
CUST02566,2024-03-05,63,Other,MA
CUST02538,2023-11-04,61,Other,AZ
CUST01811,2024-03-28,55,Female,MA
CUST00955,2022-11-16,62,Other,TX
CUST02119,2024-05-01,20,Other,GA
CUST01456,2024-04-20,55,Female,MI
CUST01275,2022-08-23,20,Other,TX
CUST00973,2023-12-02,70,Male,VA
CUST01915,2022-11-17,46,Male,WA
CUST00899,2022-12-12,23,Other,CA
CUST00028,2023-10-28,63,Female,IL
CUST00122,2024-03-05,37,Other,MI
CUST00722,2022-08-29,27,Other,CO
CUST01515,2022-04-11,55,Female,VA
CUST02182,2023-10-02,69,Male,WA
CUST01013,2023-05-11,22,Male,TX
CUST00686,2022-11-05,18,Other,PA
CUST01100,2024-01-31,38,Other,FL
CUST00644,2023-03-23,49,Female,NY
CUST02545,2022-12-07,18,Other,PA
CUST02644,2023-09-22,47,Female,PA
CUST01368,2023-07-19,50,Female,CA
CUST01070,2022-04-06,61,Other,TX
CUST00933,2023-11-17,47,Female,MA
CUST02859,2022-02-01,64,Female,IL
CUST01453,2023-01-31,48,Other,FL
CUST00630,2022-12-20,34,Female,MA
CUST01347,2023-10-03,63,Other,MA
CUST00844,2023-05-04,42,Other,CO
CUST00454,2022-04-13,64,Other,OH
CUST00651,2024-01-30,70,Female,AZ
CUST01012,2024-03-04,42,Other,MA
CUST02915,2022-09-12,26,Female,GA
CUST02700,2023-05-27,45,Female,OH
CUST00274,2022-05-04,60,Male,NY
CUST00676,2022-05-11,21,Male,CA
CUST00155,2023-02-13,23,Other,NC
CUST00575,2023-11-17,55,Other,NY
CUST00046,2022-06-09,56,Other,CO
CUST02626,2022-03-23,66,Other,TX
CUST00820,2023-12-12,22,Other,NC
CUST02966,2022-02-22,45,Male,MI
CUST00495,2022-08-04,56,Male,AZ
CUST02696,2022-04-27,67,Male,MA
CUST00703,2023-11-23,44,Male,CO
CUST02730,2022-12-22,42,Other,WA
CUST00087,2022-04-14,48,Other,PA
CUST01540,2024-03-22,51,Other,NC
CUST01700,2023-01-16,20,Other,CO
CUST02816,2022-03-22,24,Other,FL
CUST02599,2023-03-24,30,Female,PA
CUST00810,2022-08-29,62,Male,FL
CUST01632,2023-10-24,56,Other,NY
