order_id,customer_id,product_id,order_date,quantity,discount_pct,total_amount,payment_method,shipping_city,shipping_state,delivery_days,marketing_channel,is_returning_customer,review_rating,return_flag
ORD000001,CUST00544,PROD0001,2024-12-23,4,0,1341.08,Apple Pay,MACity3,MA,6.0,Social Media,1,2.0,0
ORD000002,CUST00954,PROD0002,2023-05-02,5,25,103.8,Gift Card,CACity3,CA,5.0,Direct,1,2.0,0
ORD000003,CUST02898,PROD0003,2024-01-04,5,0,235.75,Credit Card,WACity3,WA,9.0,Organic Search,1,4.0,0
ORD000004,CUST02697,PROD0004,2023-05-21,1,5,134.05,PayPal,OHCity1,OH,14.0,Social Media,1,5.0,0
ORD000005,CUST02413,PROD0005,2022-05-31,3,20,531.17,Credit Card,FLCity1,FL,14.0,Organic Search,0,,0
ORD000006,CUST02220,PROD0006,2023-10-16,2,0,263.0,PayPal,OHCity1,OH,5.0,Paid Ads,0,5.0,0
ORD000007,CUST00112,PROD0007,2024-01-24,4,0,215.52,Credit Card,COCity2,CO,6.0,Organic Search,1,4.0,0
ORD000008,CUST00830,PROD0008,2023-07-02,2,20,398.43,Credit Card,VACity1,VA,5.0,Social Media,1,1.0,0
ORD000009,CUST00119,PROD0009,2023-06-25,3,0,837.81,Gift Card,FLCity1,FL,13.0,Social Media,0,,0
ORD000010,CUST01827,PROD0004,2022-11-10,2,0,379.58,Credit Card,VACity1,VA,9.0,Organic Search,1,5.0,1
ORD000011,CUST01904,PROD0010,2023-12-27,2,25,7.9,PayPal,OHCity2,OH,10.0,Direct,0,4.0,0
ORD000012,CUST00872,PROD0011,2024-11-06,1,0,84.9,Bank Transfer,ILCity2,IL,2.0,Referral,1,5.0,0
ORD000013,CUST01145,PROD0012,2024-07-28,5,15,1083.28,PayPal,COCity3,CO,6.0,Paid Ads,1,4.0,1
ORD000014,CUST02713,PROD0013,2024-05-24,4,15,1630.98,Apple Pay,AZCity1,AZ,12.0,Organic Search,0,3.0,0
ORD000015,CUST00040,PROD0014,2024-12-20,4,0,1529.68,Bank Transfer,WACity3,WA,11.0,Social Media,1,2.0,0
ORD000016,CUST02754,PROD0015,2023-07-23,5,0,910.95,Apple Pay,PACity3,PA,1.0,Organic Search,1,2.0,0
ORD000017,CUST00908,PROD0016,2024-12-30,2,10,89.15,Credit Card,AZCity3,AZ,4.0,Email,1,4.0,1
ORD000018,CUST02019,PROD0017,2023-09-17,1,20,81.65,Gift Card,PACity1,PA,14.0,Paid Ads,1,4.0,0
ORD000019,CUST02703,PROD0008,2024-08-11,5,0,459.45,Debit Card,VACity3,VA,2.0,Referral,1,3.0,0
ORD000020,CUST02986,PROD0006,2023-05-15,1,10,446.42,Bank Transfer,OHCity3,OH,9.0,Direct,1,5.0,0
ORD000021,CUST00213,PROD0015,2024-08-14,4,25,421.95,Debit Card,WACity2,WA,6.0,Organic Search,1,,0
ORD000022,CUST01139,PROD0014,2023-07-30,4,20,516.93,Bank Transfer,WACity1,WA,6.0,Paid Ads,1,2.0,0
ORD000023,CUST02825,PROD0018,2024-04-25,2,10,155.56,Credit Card,CACity1,CA,11.0,Referral,1,2.0,0
ORD000024,CUST02566,PROD0006,2024-12-10,1,15,203.51,Credit Card,MACity1,MA,14.0,Referral,0,5.0,0
ORD000025,CUST02538,PROD0019,2024-06-15,5,0,333.95,Debit Card,AZCity1,AZ,7.0,Organic Search,1,5.0,0
ORD000026,CUST01811,PROD0020,2024-04-25,4,0,150.28,Gift Card,MACity3,MA,1.0,Social Media,1,4.0,0
ORD000027,CUST00955,PROD0008,2024-02-01,1,25,172.08,Credit Card,TXCity2,TX,10.0,Social Media,1,2.0,0
ORD000028,CUST02119,PROD0017,2024-10-16,1,0,55.83,Gift Card,GACity3,GA,13.0,Email,0,4.0,0
ORD000029,CUST01456,PROD0021,2024-11-21,4,0,388.12,Bank Transfer,MICity1,MI,1.0,Email,1,3.0,0
ORD000030,CUST01275,PROD0004,2023-06-17,2,15,403.6,Debit Card,TXCity2,TX,6.0,Organic Search,1,1.0,0
ORD000031,CUST00973,PROD0003,2024-08-17,4,5,665.72,Bank Transfer,VACity3,VA,4.0,Direct,1,2.0,0
ORD000032,CUST01915,PROD0022,2023-09-20,5,10,2167.74,Credit Card,WACity2,WA,6.0,Social Media,1,3.0,0
ORD000033,CUST00899,PROD0023,2024-03-27,2,5,448.29,Apple Pay,CACity1,CA,8.0,Paid Ads,0,5.0,0
ORD000034,CUST00028,PROD0024,2024-04-30,3,0,59.58,PayPal,ILCity1,IL,5.0,Organic Search,1,5.0,0
ORD000035,CUST00122,PROD0025,2024-06-14,2,10,204.08,Debit Card,MICity3,MI,3.0,Organic Search,0,5.0,0
ORD000036,CUST00722,PROD0026,2023-11-03,1,0,416.57,Apple Pay,COCity2,CO,11.0,Paid Ads,0,2.0,0
ORD000037,CUST01515,PROD0013,2023-05-30,5,20,1954.68,Debit Card,VACity3,VA,2.0,Paid Ads,1,2.0,0
ORD000038,CUST02182,PROD0027,2024-04-12,5,5,1033.69,Debit Card,WACity1,WA,13.0,Email,0,4.0,0
ORD000039,CUST01013,PROD0006,2023-06-07,5,25,1816.31,Gift Card,TXCity1,TX,12.0,Organic Search,1,2.0,0
ORD000040,CUST00686,PROD0014,2023-07-23,3,25,566.55,Apple Pay,PACity1,PA,6.0,Social Media,1,5.0,0
ORD000041,CUST01100,PROD0014,2024-11-23,1,5,102.18,Apple Pay,FLCity2,FL,14.0,Referral,0,4.0,0
ORD000042,CUST00644,PROD0027,2024-07-13,5,0,234.8,Apple Pay,NYCity2,NY,8.0,Referral,1,,0
ORD000043,CUST02545,PROD0028,2023-05-28,4,15,744.91,Debit Card,PACity2,PA,6.0,Email,0,4.0,0
ORD000044,CUST02644,PROD0029,2023-10-30,3,0,1266.27,Gift Card,PACity2,PA,4.0,Paid Ads,0,2.0,0
ORD000045,CUST01368,PROD0027,2023-10-27,3,10,1009.48,Bank Transfer,CACity1,CA,12.0,Referral,1,3.0,1
ORD000046,CUST01070,PROD0016,2022-04-10,3,20,942.36,Debit Card,TXCity2,TX,14.0,Social Media,1,1.0,0
ORD000047,CUST00933,PROD0030,2024-03-12,2,25,390.5,Debit Card,MACity3,MA,14.0,Social Media,0,5.0,0
ORD000048,CUST02859,PROD0030,2022-09-02,4,0,1708.84,Apple Pay,ILCity2,IL,3.0,Direct,1,3.0,0
ORD000049,CUST01453,PROD0030,2023-07-23,4,20,1102.24,Credit Card,FLCity3,FL,9.0,Paid Ads,0,4.0,0
ORD000050,CUST00630,PROD0022,2024-05-03,5,20,1829.24,Apple Pay,MACity2,MA,4.0,Organic Search,0,5.0,0
ORD000051,CUST01347,PROD0031,2024-07-20,1,0,89.85,Apple Pay,MACity1,MA,14.0,Email,0,5.0,0
ORD000052,CUST00844,PROD0020,2023-08-31,1,15,195.55,Apple Pay,COCity3,CO,1.0,Paid Ads,1,3.0,0
ORD000053,CUST00454,PROD0001,2022-06-18,4,20,1193.15,Bank Transfer,OHCity1,OH,3.0,Social Media,1,4.0,0
ORD000054,CUST00651,PROD0010,2024-12-04,5,25,395.51,Apple Pay,AZCity2,AZ,4.0,Referral,1,1.0,1
ORD000055,CUST01012,PROD0022,2024-11-28,4,0,931.2,PayPal,MACity3,MA,2.0,Direct,1,4.0,0
ORD000056,CUST02915,PROD0032,2023-10-22,5,0,2063.0,Apple Pay,GACity2,GA,4.0,Social Media,1,3.0,0
ORD000057,CUST02700,PROD0033,2023-08-28,4,0,1403.32,PayPal,OHCity1,OH,14.0,Direct,1,3.0,0
ORD000058,CUST00274,PROD0030,2023-04-26,4,0,1984.92,Apple Pay,NYCity2,NY,2.0,Social Media,1,2.0,0
ORD000059,CUST00676,PROD0034,2022-09-17,1,0,233.77,Debit Card,CACity3,CA,12.0,Social Media,1,5.0,0
ORD000060,CUST00155,PROD0026,2023-02-18,2,25,250.38,Bank Transfer,NCCity2,NC,8.0,Social Media,1,2.0,0
ORD000061,CUST00575,PROD0006,2024-07-15,2,0,840.12,Credit Card,NYCity1,NY,5.0,Direct,0,2.0,0
ORD000062,CUST00046,PROD0006,2023-05-21,4,5,692.55,Bank Transfer,COCity3,CO,1.0,Referral,1,,0
ORD000063,CUST02626,PROD0019,2023-02-25,3,0,674.31,PayPal,TXCity1,TX,13.0,Paid Ads,1,5.0,0
ORD000064,CUST00820,PROD0035,2024-01-27,1,15,420.5,Bank Transfer,NCCity1,NC,11.0,Paid Ads,1,2.0,0
ORD000065,CUST02966,PROD0035,2022-05-18,5,15,247.78,Apple Pay,MICity2,MI,9.0,Social Media,1,4.0,0
ORD000066,CUST00495,PROD0009,2022-11-30,3,0,495.21,Debit Card,AZCity2,AZ,11.0,Organic Search,0,5.0,0
ORD000067,CUST02696,PROD0020,2023-06-18,3,5,76.24,Gift Card,MACity2,MA,5.0,Referral,0,5.0,1
